"date","load","unit","year","time_interval","country"
2017-01-12 08:00:00,76891,"MAW",2017,60,"FR"
2017-01-12 09:00:00,76687,"MAW",2017,60,"FR"
2017-01-12 10:00:00,76885,"MAW",2017,60,"FR"
2017-01-12 11:00:00,76567,"MAW",2017,60,"FR"
2017-01-12 12:00:00,75641,"MAW",2017,60,"FR"
2017-01-12 13:00:00,74598,"MAW",2017,60,"FR"
2017-01-12 14:00:00,73187,"MAW",2017,60,"FR"
2017-01-12 15:00:00,72916,"MAW",2017,60,"FR"
2017-01-12 16:00:00,75158,"MAW",2017,60,"FR"
2017-01-12 17:00:00,78662,"MAW",2017,60,"FR"
2017-01-12 18:00:00,78132,"MAW",2017,60,"FR"
2017-01-12 19:00:00,74119,"MAW",2017,60,"FR"
2017-01-12 20:00:00,70384,"MAW",2017,60,"FR"
2017-01-12 21:00:00,70092,"MAW",2017,60,"FR"
2017-01-12 22:00:00,71162,"MAW",2017,60,"FR"
2017-01-12 23:00:00,68654,"MAW",2017,60,"FR"
2017-01-13 00:00:00,66300,"MAW",2017,60,"FR"
2017-01-13 01:00:00,65096,"MAW",2017,60,"FR"
2017-01-13 02:00:00,62712,"MAW",2017,60,"FR"
2017-01-13 03:00:00,62257,"MAW",2017,60,"FR"
2017-01-13 04:00:00,65177,"MAW",2017,60,"FR"
2017-01-13 05:00:00,71288,"MAW",2017,60,"FR"
2017-01-13 06:00:00,77433,"MAW",2017,60,"FR"
2017-01-13 07:00:00,79975,"MAW",2017,60,"FR"
2017-01-13 08:00:00,80312,"MAW",2017,60,"FR"
2017-01-13 09:00:00,79944,"MAW",2017,60,"FR"
2017-01-13 10:00:00,79816,"MAW",2017,60,"FR"
2017-01-13 11:00:00,79292,"MAW",2017,60,"FR"
2017-01-13 12:00:00,77870,"MAW",2017,60,"FR"
2017-01-13 13:00:00,76435,"MAW",2017,60,"FR"
2017-01-13 14:00:00,74792,"MAW",2017,60,"FR"
2017-01-13 15:00:00,74348,"MAW",2017,60,"FR"
2017-01-13 16:00:00,77301,"MAW",2017,60,"FR"
2017-01-13 17:00:00,81418,"MAW",2017,60,"FR"
2017-01-13 18:00:00,81077,"MAW",2017,60,"FR"
2017-01-13 19:00:00,77380,"MAW",2017,60,"FR"
2017-01-13 20:00:00,73855,"MAW",2017,60,"FR"
